text,label
"今天真是太开心了，收到了最好的礼物！",0
"我感到无比的快乐和幸福。",0
"这个消息太棒了，简直不敢相信！",0
"阳光明媚的一天，心情特别好！",0
"终于完成了目标，太有成就感了！",0
"和朋友聚会，笑得合不拢嘴。",0
"考试通过了，开心得跳起来！",0
"吃到美味的食物，幸福感爆棚。",0
"看到孩子笑脸，心里暖暖的。",0
"工作顺利，老板表扬了我！",0
"周末出游，玩得特别尽兴！",0
"收到了心仪的offer，激动不已！",0
"恋人送的花，甜蜜又感动。",0
"健身成果显著，身材变好了！",0
"终于买到了想要的房子！",0
"股票大涨，赚了不少钱！",0
"被夸奖了，心里美滋滋的。",0
"解决了难题，成就感满满。",0
"看电影笑得很开心，放松极了。",0
"生日派对太热闹，朋友都来了！",0
"今天阳光灿烂，心情也跟着明媚起来！",0
"减肥成功了，穿上心仪的裙子美滋滋！",0
"客户终于签单了，努力没有白费！",0
"学会了一道新菜，家人夸我厨艺好！",0
"旅行计划终于成行，兴奋得睡不着！",0
"升职加薪，老板特别认可我的能力！",0
"孩子学会走路了，激动得眼眶湿润！",0
"多年老友重逢，回忆满满感动不已！",0
"抢到了演唱会门票，太幸运了！",0
"游戏通关了，满满的成就感！",0
"咖啡店偶遇偶像，幸福来得太突然！",0
"新车终于提了，兴奋地绕着车转圈！",0
"毕业论文通过了，如释重负！",0
"收到意外的红包，开心得手舞足蹈！",0
"第一次演讲成功，观众掌声雷动！",0
"中奖了！虽然不多但运气爆棚！",0
"终于还清贷款，无债一身轻！",0
"猫咪生了一窝小奶猫，太可爱了！",0
"学会了游泳，突破自己的恐惧！",0
"收到期待已久的包裹，拆礼物最快乐！",0
"听到这个噩耗，我心都碎了。",1
"眼泪止不住地流下来，好难过。",1
"感到深深的无助和悲伤。",1
"失去了亲人，心里空荡荡的。",1
"分手了，心如刀割般痛苦。",1
"考试失败了，失望又沮丧。",1
"工作丢了，前途一片迷茫。",1
"被误解了，委屈得想哭。",1
"看到悲剧电影，眼泪流不停。",1
"生病了，身体和心理都很难受。",1
"朋友离开了，感到很孤独。",1
"宠物去世了，伤心了好几天。",1
"努力白费了，感到很绝望。",1
"被拒绝了，心里很受伤。",1
"想念家乡，思乡之情涌上心头。",1
"雨天阴沉，心情也跟着低落。",1
"失眠了，疲惫又烦躁。",1
"回忆往事，伤感又怀念。",1
"没人理解我，感到很孤单。",1
"梦想破灭了，心灰意冷。",1
"钱包丢了，整个下午都在自责。",1
"错过最后一般地铁，只能步行回家。",1
"生日那天却没人记得，失落感袭来。",1
"失业了，不知道怎么跟家人交代。",1
"最好的朋友要离开了，难舍难分。",1
"亲人住院了，心里忐忑不安。",1
"努力准备的面试还是失败了。",1
"电脑坏了，所有资料都没了。",1
"感情走到了尽头，心如刀割。",1
"辜负了父母的期望，压力山大。",1
"丢失了珍贵的照片，遗憾终生。",1
"身体检查出了问题，担忧不已。",1
"错过了孩子的成长瞬间。",1
"被信任的人背叛，痛彻心扉。",1
"项目搞砸了，前途未卜。",1
"快递丢失，维权无门。",1
"漏水把楼下邻居家淹了。",1
"钥匙锁家里了，进不去门。",1
"信用卡逾期了，焦虑万分。",1
"发现身边的人都在欺骗自己。",1
"你为什么要这样对我？我真的很生气！",2
"别再烦我了，我现在火气很大！",2
"这种行为简直不可理喻，让人愤怒。",2
"被欺骗了，怒火中烧！",2
"服务态度太差，气死我了！",2
"明明是我的功劳却被抢走了！",2
"排队太久，耐心耗尽了！",2
"被无故批评，心里很不服气！",2
